,Hexagon_ID,geometry,H3_centroids
36,891126d3107ffff,"POLYGON ((24.924995025064835 60.18657382423859, 24.92767925841413 60.1858849261637, 24.930135931794236 60.18689704602529, 24.929908384922374 60.18859812718949, 24.92722392223655 60.18928703688737, 24.92476723576959 60.188274853796486, 24.924995025064835 60.18657382423859))",POINT (60.18758598696535 24.927451601419765)
37,891126d0653ffff,"POLYGON ((24.95720349478415 60.178302156172414, 24.959887304123097 60.17761236877324, 24.9623451407486 60.17862397395093, 24.96211918142092 60.180325429783, 24.95943514293765 60.18101522888825, 24.95697729293687 60.18000356045377, 24.95720349478415 60.178302156172414))",POINT (60.1793138042617 24.959661234547056)
38,891126d3303ffff,"POLYGON ((24.9431418605306 60.1671278826542, 24.945824692081892 60.16643825896927, 24.948280956097147 60.167449938313055, 24.948054401809426 60.16915130458251, 24.945371341228466 60.16984093993104, 24.94291506397535 60.16882919734489, 24.9431418605306 60.1671278826542))",POINT (60.16813960487213 24.94559802769621)
39,891126d338fffff,"POLYGON ((24.93509315408211 60.16919630921732, 24.937776091519627 60.16850690777742, 24.940232064945473 60.16951871573215, 24.940005114110186 60.17121998836071, 24.93732194759502 60.17190940144349, 24.934865961003315 60.17089753025326, 24.93509315408211 60.16919630921732))",POINT (60.170208160034655 24.9375490306178)
40,891126d068bffff,"POLYGON ((24.94847199215405 60.18547497300306, 24.951156304520133 60.18478550159912, 24.953614181197164 60.185797296540535, 24.953387758819574 60.18749862613443, 24.950703217190767 60.18818810922402, 24.94824532721278 60.18717625103244, 24.94847199215405 60.18547497300306))",POINT (60.186486810849196 24.95092977189641)
41,891126d3313ffff,"POLYGON ((24.93800313030377 60.16680564467473, 24.940685900295378 60.166116137937166, 24.9431418605306 60.1671278826542, 24.94291506397535 60.16882919734489, 24.940232064945473 60.16951871573215, 24.937776091519627 60.16850690777742, 24.93800313030377 60.16680564467473))",POINT (60.16781743225663 24.94045899367283)
42,891126d33dbffff,"POLYGON ((24.93131875527781 60.158666476139715, 24.934000838339582 60.157977004308506, 24.936455847924368 60.1589887553211, 24.936228787581033 60.16069004139373, 24.93354647557348 60.16137952485333, 24.931091452865502 60.16036771061029, 24.93131875527781 60.158666476139715))",POINT (60.15967826999614 24.933773668018645)
43,891126d314bffff,"POLYGON ((24.929272236358255 60.173977196173325, 24.93195550870799 60.173288005349, 24.93441150844076 60.17429993977256, 24.93418424895064 60.17600112824995, 24.93150074744444 60.176690330703515, 24.929044734595344 60.175678333048886, 24.929272236358255 60.173977196173325))",POINT (60.17498917345491 24.931728139152845)
44,891126d3113ffff,"POLYGON ((24.917626538714543 60.183537201127756, 24.92031048096998 60.18284843161579, 24.92276653301914 60.183860618950476, 24.922538655840427 60.1855616390177, 24.919854484270743 60.18625042013162, 24.91739841920455 60.185238169574745, 24.917626538714543 60.183537201127756))",POINT (60.18454943131125 24.9200824937294)
45,891126d159bffff,"POLYGON ((24.963700434397605 60.16841501099364, 24.966383511775728 60.16772491937959, 24.96884099088539 60.168736336997746, 24.968615406054404 60.17043790948933, 24.965932099681122 60.171128012822756, 24.96347460714447 60.17011653194366, 24.963700434397605 60.16841501099364))",POINT (60.1694264715232 24.966157816724134)
46,891126d33cbffff,"POLYGON ((24.936455847924368 60.1589887553211, 24.939137992571556 60.15829916658429, 24.941593305802186 60.15931085227947, 24.941366487566548 60.16101218994494, 24.9386841139821 60.16170179032398, 24.936228787581033 60.16069004139373, 24.936455847924368 60.1589887553211))",POINT (60.160000483869396 24.938911064327637)
47,891126d303bffff,"POLYGON ((24.91454116569801 60.16790486074375, 24.91722385635452 60.16721592695331, 24.919678614446365 60.16822799614981, 24.91945069486915 60.1699290623521, 24.91676777510082 60.170618007729715, 24.914313004032056 60.16960587531629, 24.91454116569801 60.16790486074375))",POINT (60.168916972765665 24.916995826833414)
48,891126d337bffff,"POLYGON ((24.954099220637875 60.16266749305402, 24.956781778705857 60.161977541832634, 24.959238319854023 60.16298902927925, 24.95901231627937 60.16469053119709, 24.956329529269127 60.16538049410964, 24.95387297478632 60.16436894341157, 24.954099220637875 60.16266749305402))",POINT (60.16367902338867 24.956555665001083)
49,891126d3333ffff,"POLYGON ((24.947601227013557 60.17255400458208, 24.95028451665501 60.17186435756286, 24.952741414862704 60.17287603259145, 24.952515036722286 60.17457741788499, 24.949831517989555 60.17526707658208, 24.947374606498958 60.17425533830623, 24.947601227013557 60.17255400458208))",POINT (60.173565722498935 24.95005802835684)
50,891126d1597ffff,"POLYGON ((24.963022886621793 60.17351954130407, 24.965706360643455 60.172829543275256, 24.968164170444076 60.17384102193282, 24.96793851965835 60.17554256187875, 24.96525481657128 60.17623257162721, 24.962796993345812 60.175221029708474, 24.963022886621793 60.17351954130407))",POINT (60.17453106287773 24.965480599607908)
51,891126d336fffff,"POLYGON ((24.96146917448985 60.16570201647073, 24.964152022903498 60.16501193656888, 24.96660918483901 60.16602335639487, 24.966383511775728 60.16772491937959, 24.963700434397605 60.16841501099364, 24.961243259057664 60.16740352790919, 24.96146917448985 60.16570201647073))",POINT (60.16671347920107 24.963926239649567)
52,891126d302bffff,"POLYGON ((24.919678614446365 60.16822799614981, 24.922361366859853 60.16753894546795, 24.924816428788926 60.16855094938892, 24.924588751339126 60.17025206721173, 24.921905769822317 60.170941129494636, 24.91945069486915 60.1699290623521, 24.919678614446365 60.16822799614981))",POINT (60.169240042905464 24.92213357943554)
53,891126d33afffff,"POLYGON ((24.944691149300155 60.174944880014195, 24.947374606498958 60.17425533830623, 24.949831517989555 60.17526707658208, 24.949604985549936 60.17696841980937, 24.946921299220385 60.17765797318835, 24.944464374471668 60.17664617166746, 24.944691149300155 60.174944880014195))",POINT (60.17595666117598 24.94714796390231)
54,891126d33c7ffff,"POLYGON ((24.935774600547635 60.16409258104006, 24.93845714153179 60.16340308594504, 24.940912784816327 60.164414832776764, 24.940685900295378 60.166116137937166, 24.93800313030377 60.16680564467473, 24.935547473851074 60.165793834607726, 24.935774600547635 60.16409258104006))",POINT (60.165104370729615 24.93823014697343)
55,891126d33bbffff,"POLYGON ((24.93732194759502 60.17190940144349, 24.940005114110186 60.17121998836071, 24.94246140457641 60.17223179418705, 24.9422345417263 60.17393307633249, 24.939551146102634 60.17462250106527, 24.937094842448097 60.17361063200101, 24.93732194759502 60.17190940144349))",POINT (60.172921250139424 24.93977814116363)
56,891126d3167ffff,"POLYGON ((24.938188711152623 60.184829778543254, 24.94087290031345 60.18414054115929, 24.943330168791274 60.18515246699157, 24.94310326132504 60.1868536934471, 24.940418842884228 60.18754294248882, 24.937961561200137 60.186530953415684, 24.938188711152623 60.184829778543254))",POINT (60.185841747261655 24.940645882662505)
57,891126d3317ffff,"POLYGON ((24.940232064945473 60.16951871573215, 24.94291506397535 60.16882919734489, 24.945371341228466 60.16984093993104, 24.945144632675337 60.17154226414302, 24.94246140457641 60.17223179418705, 24.940005114110186 60.17121998836071, 24.940232064945473 60.16951871573215))",POINT (60.170530501190186 24.942688245325023)
58,891126d1587ffff,"POLYGON ((24.968164170444076 60.17384102193282, 24.97084770584331 60.17315090687289, 24.973305819503082 60.174162320026866, 24.973080411246194 60.175863911505004, 24.970396646790228 60.176554038298534, 24.96793851965835 60.17554256187875, 24.968164170444076 60.17384102193282))",POINT (60.17485247801223 24.970622187305967)
59,891126d0613ffff,"POLYGON ((24.953614181197164 60.185797296540535, 24.95629855510397 60.18510770810562, 24.95875673587678 60.18611943756666, 24.958530556101586 60.18782081871579, 24.95584595294069 60.18851041885029, 24.953387758819574 60.18749862613443, 24.953614181197164 60.185797296540535))",POINT (60.186809068915586 24.956072265051926)
60,891126d3343ffff,"POLYGON ((24.946731128867636 60.15963276697765, 24.949413396562232 60.15894294438782, 24.95186931707705 60.159954499378415, 24.95164298317268 60.1616559402016, 24.948960486558022 60.16234577446158, 24.946504552778304 60.16133415622662, 24.946731128867636 60.15963276697765))",POINT (60.16064436483997 24.949186952588285)
