,id,lat,lon
908,89089968d2fffff,60.25321219,24.78628098
909,89089968d43ffff,60.23964248,24.77519174
910,89089968d43ffff,60.23964248,24.77519174
911,89089968d43ffff,60.23964248,24.77519174
912,89089968d43ffff,60.23964248,24.77519174
913,89089968d43ffff,60.23964248,24.77519174
914,89089968d43ffff,60.23964248,24.77519174
915,89089968d43ffff,60.23964248,24.77519174
916,89089968d43ffff,60.23964248,24.77519174
917,89089968d47ffff,60.24235641,24.77740878
918,89089968d47ffff,60.24235641,24.77740878
919,89089968d47ffff,60.24235641,24.77740878
920,89089968d47ffff,60.24235641,24.77740878
921,89089968d4fffff,60.2399726,24.7803314
922,89089968d4fffff,60.2399726,24.7803314
923,89089968d53ffff,60.23931219,24.77005246
924,89089968d53ffff,60.23931219,24.77005246
925,89089968d53ffff,60.23931219,24.77005246
926,89089968d53ffff,60.23931219,24.77005246
927,89089968d53ffff,60.23931219,24.77005246
928,89089968d53ffff,60.23931219,24.77005246
929,89089968d53ffff,60.23931219,24.77005246
930,89089968d53ffff,60.23931219,24.77005246
931,89089968d53ffff,60.23931219,24.77005246
932,89089968d57ffff,60.24202613,24.77226895
933,89089968d57ffff,60.24202613,24.77226895
934,89089968d57ffff,60.24202613,24.77226895
935,89089968d57ffff,60.24202613,24.77226895
936,89089968d57ffff,60.24202613,24.77226895
937,89089968d57ffff,60.24202613,24.77226895
938,89089968d57ffff,60.24202613,24.77226895
939,89089968d57ffff,60.24202613,24.77226895
940,89089968d57ffff,60.24202613,24.77226895
941,89089968d57ffff,60.24202613,24.77226895
942,89089968d5bffff,60.23692856,24.77297511
943,89089968d5bffff,60.23692856,24.77297511
944,89089968d5bffff,60.23692856,24.77297511
945,89089968d73ffff,60.24507034,24.77962623
946,89089968d7bffff,60.24268651,24.78254898
947,89089968d8bffff,60.24646217,24.76128258
948,89089968d8fffff,60.24917617,24.76349864
949,89089968d8fffff,60.24917617,24.76349864
950,89089968d9bffff,60.24613118,24.75614313
951,89089968d9bffff,60.24613118,24.75614313
952,89089968d9bffff,60.24613118,24.75614313
953,89089968d9bffff,60.24613118,24.75614313
954,89089968d9bffff,60.24613118,24.75614313
